Verb,Verb_case,Obj_case,NP,PP,NP_len,PP_len,Len_diff,V_NP_d,V_PP_d,NP_definiteness,PP_definiteness,NP_pronominality,PP_pronominality,ADP,Shift,PrePost
کروا,,Nom,چار اپیلیں,اب تک,2,2,0,16,19,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
کروا,,Acc,اس کو,راجیہ سبھا کے مسلم ارکان کے تعاون سے,2,8,-6,6,8,indefinite,indefinite,pronominal,nonpronomial,postposition,nonshifted,preverbal
لے,Acc,Acc,موجودہ انکم ٹیکس قانون کی جگہ,آئندہ سال سے,6,3,3,1,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کر,,Nom,اپنا امیدوار,کڑپہ سے,2,2,0,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
پرھ,,Nom,لاحول ولاقو الا باللّٰہ العلی العظیم,کثرت سے,6,2,4,1,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
ڈر,,Nom,اللہ تعالیٰ سے,صحیح معنی مےں,3,3,0,6,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
پرھ,,Nom,لاحول ولاقو الا باللّٰہ العلی العظیم,کثرت سے,6,2,4,1,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
سنا,,Nom,مذکورہ آیت کریمہ,تائید مےں,3,2,1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کر,,Acc,ایسے دہشتگردوں کو,اسلام سے,3,2,1,5,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
ہٹا,,Acc,درختوں کو,بڑی مشکل سے,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
بھڑک,,Nom,آگ,ویکلی مارکٹ چوراستہ کے پاس موجود برقی کھمبے سے,1,9,-8,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
ہٹا,,Acc,درختوں کو,بڑی مشکل سے,2,3,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
لا,,Acc,بھرتی,عمل مےں,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
لا,,Acc,بھرتی,عمل مےں,1,2,-1,3,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
کر,,Nom,تین فتوحات,پانچ مقابلوں مےں,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کر,,Nom,شکست,متواتر تین مقابلوں مےں,1,4,-3,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کر,,Nom,جہنم کی آگ,تم پر,3,2,1,2,6,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
ڈال,,Nom,محبت بھری نظر,اُن پر,3,2,1,1,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
دے,,Acc,سفینا کو,فرنچ اوپن میں,2,3,-1,9,11,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
پہنچا,,"Acc,Dat",انہیں,نمبر ون مقام تک,1,4,-3,5,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
دے,,Acc,خود کو,اپنی 10 گرانڈ سلام فتوحات کی بنیاد پر,2,8,-6,5,7,indefinite,indefinite,pronominal,nonpronomial,postposition,nonshifted,preverbal
ہو,,Nom,کتنی فتوحات,میری فہرست میں,2,3,-1,2,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کر,,Nom,نمبر ایک کھلاڑی کا فیصلہ,جب میں ان کی عمر کو پہنچ جاؤں گی تو میری فہرست میں کتنی فتوحات درج ہوتی ہیں جس کی بنیاد پر,5,22,-17,2,8,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
دے,,Acc,سفینا کو,فرنچ اوپن میں,2,3,-1,9,11,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
دیکھ,,Acc,رشتہ_داروں اور مقامی عوام کی برہمی کو,بچہ کی موت پر,7,4,3,2,9,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
ٹہرا,,Acc,کنٹراکٹر کو,اس واقعہ پر,2,3,-1,7,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
کر,,Nom,تعلیم,گورنمنٹ اسکول مےں,1,3,-2,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کر,,Nom,چندہ,مسلمانوں سے,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
منا,,Nom,تلگودیشم پارٹی سربراہ صدر این چندرا بابو نائیڈو کی 62 سالگرہ تقریب,رکن اسمبلی جگتیال مسٹر ایل رمنا کی قیام_گاہ پر,12,9,3,15,7,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
بھیج,,Acc,سابق چیف منسٹر جھارکھنڈ مدھو کوڈا کو,جس کے نتیجہ مےں,7,4,3,3,10,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کہہ,,Nom,یہ,عوام کے نام اپنے کھلے مکتوب مےں,1,7,-6,1,3,indefinite,indefinite,pronominal,nonpronomial,postposition,nonshifted,preverbal
کر,,Nom,دوری,ان سے,1,2,-1,2,4,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
بنا,Acc,Acc,غریب اور اوسط طبقہ کو,معاشی طور پر,5,3,2,7,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
کر,Acc,Acc,خود کو,شاہی خاندان مےں,2,3,-1,3,5,indefinite,indefinite,pronominal,nonpronomial,postposition,nonshifted,preverbal
ڈال,Acc,Acc,جان,اس مےں,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
چھپا,,Acc,اپنے آپ کو,پتوں مےں,3,2,1,4,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
کر,,Nom,فراغت,تعلیم سے,1,2,-1,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کما,,Nom,کچھ پیسے,اپنی تعلیم کے بل بوتے پر,2,6,-4,1,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
آ,,Nom,اےک ہڈیوں کا ڈھیر,وہاں پر,4,2,2,2,7,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
کر,,Acc,اس ہڈیوں کے ڈھیر کو,اپنے علم سے,5,3,2,8,13,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
چڑھ,,Acc,گوشت اور پوست,اس ڈھانچہ پر,3,3,0,3,5,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
دوڑا,,Nom,خون,اس مےں,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
ڈال,,Nom,جان,اس مردہ شیر کے جسم مےں,1,6,-5,1,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
ڈال,Acc,Acc,جان,اس مےں,1,2,-1,1,3,indefinite,indefinite,nonpronomial,pronominal,postposition,nonshifted,preverbal
چھپا,,Acc,اپنے آپ کو,پتوں مےں,3,2,1,4,2,indefinite,indefinite,pronominal,nonpronomial,postposition,shifted,preverbal
کر,,Nom,بہتری,اپنی کارکردگی مےں,1,3,-2,2,4,indefinite,indefinite,nonpronomial,nonpronomial,postposition,nonshifted,preverbal
کر,,Nom,عوامی نظام تقسیم کے تحت سربراہ کی جانے والی غذائی اجناس کے علاوہ کیروسین دالیں میٹھا تیل اور دیگر اجناس کے لیے ڈی ڈی,اےک ہی وقت مےں,24,4,20,6,3,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
پہونچ,Acc,Acc,ترقی کی شرح کو,9 تا 9.5 فیصد تک,4,5,-1,7,2,indefinite,indefinite,nonpronomial,nonpronomial,postposition,shifted,preverbal
